,f2_fl,f3_f1,f3_fl,f4_f1,f4_fl
f2_fl,1.0,0.0,0.0,0.0,0.0
f3_f1,0.0,1.0,0.030303030303030304,0.24444444444444444,0.0
f3_fl,0.0,0.030303030303030304,1.0,0.25,0.4864864864864865
f4_f1,0.0,0.24444444444444444,0.25,1.0,0.9183673469387755
f4_fl,0.0,0.0,0.4864864864864865,0.9183673469387755,1.0
